name,link,price,location,picture,installment,extra,day,site
Kit I3 + Placa de Vídeo,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/kit-i3-placa-de-video-1402791049,R$ 250,"Contagem, Colorado",https://img.olx.com.br/images/34/342501643673964.webp,"3x de R$ 83,33","['Pague Online', 'Parcelamento sem juros']","11 de mai, 19:46",OLX
TROCO UMA RTX 3080 POR PLACA SUPERIOR,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/troco-uma-rtx-3080-por-placa-superior-1403476579,R$ 3.100,"Belo Horizonte, Santa Mônica",https://img.olx.com.br/images/62/621527768408283.webp,"3x de R$ 1.033,33","['Pague Online', 'Parcelamento sem juros']","13 de mai, 22:27",OLX
RTX 3060 TI Galaxy - Placa de vídeo,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/informatica/placas-de-video/rtx-3060-ti-galaxy-placa-de-video-1411404313,R$ 1.700,"Passos, Muarama",https://img.olx.com.br/images/99/998541657455733.webp,"3x de R$ 566,67","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","Hoje, 01:31",OLX
RTX 3060 12GB PNY Placa de Vídeo ,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/rtx-3060-12gb-pny-placa-de-video-1410980054,R$ 1.550,"Betim, Vila Cristina",https://img.olx.com.br/images/89/893581775244689.webp,"3x de R$ 516,67","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","9 de jun, 20:18",OLX
Gtx 550 ti 1gb Placa de Vídeo Gamer na caixa - Desempenho e Qualidade Gráfica!,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/gtx-550-ti-1gb-placa-de-video-gamer-na-caixa-desempenho-e-qualidade-grafica-1410833841,R$ 299,"Belo Horizonte, Coqueiros",https://img.olx.com.br/images/80/805582170720827.webp,"3x de R$ 99,67","['Pague Online', 'Parcelamento sem juros']","9 de jun, 11:47",OLX
Cabo Energia 2x Molex para Pci Express 6 Pinos para placa de vídeo,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/cabo-energia-2x-molex-para-pci-express-6-pinos-para-placa-de-video-1273343496,R$ 30,"Belo Horizonte, Lagoa",https://img.olx.com.br/images/92/926474368983556.webp,"1x de R$ 30,00",['Pague Online'],"4 de jun, 10:55",OLX
Cabo Sli P-Usar 2 Placas de video ( nvidia ),https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/cabo-sli-p-usar-2-placas-de-video-nvidia-1409574141,R$ 50,"Belo Horizonte, Glória",https://img.olx.com.br/images/89/896571893104309.webp,"1x de R$ 50,00","['Entrega Fácil', 'Pague Online']","4 de jun, 08:49",OLX
RTX 3080 Ti 12GB  Nvidia GALAX e Teclab ( C/ CAIXA E NOTA FISCAL) Placa de Vídeo,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/rtx-3080-ti-12gb-nvidia-galax-e-teclab-c-caixa-e-nota-fiscal-placa-de-video-1400653873,R$ 3.899,"Belo Horizonte, Sagrada Família",https://img.olx.com.br/images/13/131515044806117.webp,"3x de R$ 1.299,67","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","3 de jun, 11:05",OLX
"Rx 580 de 8gb DDR5, Dual Fans. Placa de Vídeo.",https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/rx-580-de-8gb-ddr5-dual-fans-placa-de-video-1362093059,R$ 749,"Juiz de Fora, Alto dos Passos",https://img.olx.com.br/images/79/793442839146388.webp,"3x de R$ 249,67","['Pague Online', 'Parcelamento sem juros']","19 de mai, 08:42",OLX
GTX 1660 Super nVidia GeForce DDR6 placa de vídeo.,https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/gtx-1660-super-nvidia-geforce-ddr6-placa-de-video-1362092797,R$ 1.149,"Juiz de Fora, Alto dos Passos",https://img.olx.com.br/images/10/106498719682109.webp,"3x de R$ 383,00","['Pague Online', 'Parcelamento sem juros']","19 de mai, 08:41",OLX
